銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
UMCエレ,2025/12/4,0.452991452991453,0.3732394366197183,0.4092664092664093,0.26495726495726496,0.21830985915492956,0.23938223938223938
日本新薬,2025/11/14,0.6095238095238096,0.40764331210191085,0.4885496183206108,0.3904761904761905,0.2611464968152866,0.31297709923664124
リガクHD,2025/12/4,0.5942028985507246,0.41836734693877553,0.4910179640718563,0.34057971014492755,0.23979591836734693,0.281437125748503
Wディッシュ,2025/12/4,0.3308270676691729,0.3697478991596639,0.3492063492063492,0.18796992481203006,0.21008403361344538,0.19841269841269843
多摩川HD,2025/12/4,0.5661764705882353,0.22916666666666666,0.32627118644067793,0.3014705882352941,0.12202380952380952,0.17372881355932202
エイケン工業,2025/12/5,0.45535714285714285,0.2361111111111111,0.31097560975609756,0.26785714285714285,0.1388888888888889,0.18292682926829268
Rフィールド,2025/12/5,0.5867768595041323,0.2268370607028754,0.3271889400921659,0.371900826446281,0.14376996805111822,0.20737327188940094
デジプラ,2025/12/5,0.4426229508196721,0.34615384615384615,0.38848920863309355,0.2540983606557377,0.1987179487179487,0.22302158273381292
アクアライン,2025/12/4,0.5098039215686274,0.2810810810810811,0.3623693379790941,0.3235294117647059,0.1783783783783784,0.2299651567944251
