銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
UMCエレ,2025/12/4,0.45535714285714285,0.3591549295774648,0.4015748031496063,0.2857142857142857,0.22535211267605634,0.2519685039370078
日本新薬,2025/11/14,0.6140350877192983,0.445859872611465,0.5166051660516606,0.41228070175438597,0.29936305732484075,0.34686346863468637
リガクHD,2025/12/4,0.5596330275229358,0.3112244897959184,0.39999999999999997,0.3486238532110092,0.19387755102040816,0.24918032786885247
Wディッシュ,2025/12/4,0.3333333333333333,0.42016806722689076,0.3717472118959108,0.16666666666666666,0.21008403361344538,0.1858736059479554
多摩川HD,2025/12/4,0.59375,0.2261904761904762,0.3275862068965517,0.3125,0.11904761904761904,0.17241379310344826
エイケン工業,2025/12/5,0.4482758620689655,0.24074074074074073,0.3132530120481928,0.28448275862068967,0.1527777777777778,0.19879518072289157
Rフィールド,2025/12/5,0.49137931034482757,0.18210862619808307,0.26573426573426573,0.3103448275862069,0.11501597444089456,0.16783216783216784
デジプラ,2025/12/5,0.37398373983739835,0.2948717948717949,0.32974910394265233,0.21138211382113822,0.16666666666666666,0.18637992831541217
アクアライン,2025/12/4,0.36619718309859156,0.2810810810810811,0.31804281345565755,0.23943661971830985,0.1837837837837838,0.20795107033639143
