銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
UMCエレ,2025/12/4,0.3711340206185567,0.2535211267605634,0.301255230125523,0.27835051546391754,0.19014084507042253,0.2259414225941423
日本新薬,2025/11/14,0.58,0.554140127388535,0.5667752442996742,0.46,0.4394904458598726,0.4495114006514658
リガクHD,2025/12/4,0.49673202614379086,0.3877551020408163,0.43553008595988535,0.2549019607843137,0.1989795918367347,0.22349570200573066
Wディッシュ,2025/12/4,0.3815789473684211,0.48739495798319327,0.42804428044280446,0.2236842105263158,0.2857142857142857,0.25092250922509224
多摩川HD,2025/12/4,0.5535714285714286,0.2767857142857143,0.36904761904761907,0.25,0.125,0.16666666666666666
エイケン工業,2025/12/5,0.42771084337349397,0.3287037037037037,0.3717277486910994,0.2289156626506024,0.17592592592592593,0.19895287958115185
Rフィールド,2025/12/5,0.4672131147540984,0.18210862619808307,0.2620689655172414,0.2540983606557377,0.09904153354632587,0.1425287356321839
デジプラ,2025/12/5,0.4365079365079365,0.3525641025641026,0.3900709219858156,0.30158730158730157,0.24358974358974358,0.2695035460992908
アクアライン,2025/12/4,0.4496124031007752,0.31351351351351353,0.3694267515923567,0.24031007751937986,0.16756756756756758,0.19745222929936307
