銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
UMCエレ,2025/12/4,0.41843971631205673,0.4154929577464789,0.4169611307420495,0.24822695035460993,0.24647887323943662,0.24734982332155478
日本新薬,2025/11/14,0.358974358974359,0.35668789808917195,0.35782747603833864,0.22435897435897437,0.2229299363057325,0.22364217252396165
リガクHD,2025/12/4,0.4423076923076923,0.3520408163265306,0.39204545454545453,0.2692307692307692,0.21428571428571427,0.23863636363636365
Wディッシュ,2025/12/4,0.35,0.4117647058823529,0.37837837837837834,0.17857142857142858,0.21008403361344538,0.19305019305019308
多摩川HD,2025/12/4,0.6370967741935484,0.23511904761904762,0.3434782608695653,0.33064516129032256,0.12202380952380952,0.1782608695652174
エイケン工業,2025/12/5,0.4,0.26851851851851855,0.3213296398891967,0.23448275862068965,0.1574074074074074,0.1883656509695291
Rフィールド,2025/12/5,0.4444444444444444,0.20447284345047922,0.2800875273522976,0.25,0.11501597444089456,0.1575492341356674
デジプラ,2025/12/5,0.4225352112676056,0.38461538461538464,0.40268456375838924,0.24647887323943662,0.22435897435897437,0.23489932885906042
アクアライン,2025/12/4,0.37333333333333335,0.3027027027027027,0.3343283582089553,0.22666666666666666,0.1837837837837838,0.20298507462686566
