銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
アライドアキ,2025/12/4,0.480225988700565,0.4473684210526316,0.4632152588555859,0.192090395480226,0.17894736842105263,0.18528610354223432
ラウンドワン,2025/12/4,0.3722627737226277,0.4112903225806452,0.39080459770114945,0.22627737226277372,0.25,0.23754789272030652
ブルーイノベ,2025/12/3,0.39444444444444443,0.6228070175438597,0.48299319727891155,0.2,0.3157894736842105,0.24489795918367346
平田機工,2025/12/3,0.32335329341317365,0.3724137931034483,0.3461538461538462,0.19161676646706588,0.2206896551724138,0.20512820512820512
リガクHD,2025/12/4,0.3915094339622642,0.4213197969543147,0.40586797066014674,0.21226415094339623,0.22842639593908629,0.2200488997555012
トラースOP,2025/12/4,0.5490196078431373,0.2709677419354839,0.36285097192224625,0.29411764705882354,0.14516129032258066,0.19438444924406048
Wディッシュ,2025/12/2,0.3602941176470588,0.4117647058823529,0.3843137254901961,0.22058823529411764,0.25210084033613445,0.23529411764705882
内田洋,2025/12/3,0.47668393782383417,0.336996336996337,0.3948497854077253,0.23316062176165803,0.16483516483516483,0.19313304721030042
デジプラ,2025/12/3,0.38235294117647056,0.3987730061349693,0.39039039039039036,0.23529411764705882,0.24539877300613497,0.24024024024024027
