銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
アライドアキ,2025/12/4,0.5614035087719298,0.3368421052631579,0.4210526315789474,0.35964912280701755,0.21578947368421053,0.26973684210526316
ラウンドワン,2025/12/4,0.49382716049382713,0.3225806451612903,0.3902439024390244,0.32098765432098764,0.20967741935483872,0.25365853658536586
ブルーイノベ,2025/12/3,0.5727272727272728,0.5526315789473685,0.5625,0.2727272727272727,0.2631578947368421,0.26785714285714285
平田機工,2025/12/3,0.5252525252525253,0.3586206896551724,0.4262295081967213,0.2727272727272727,0.18620689655172415,0.22131147540983606
リガクHD,2025/12/4,0.624,0.39593908629441626,0.484472049689441,0.344,0.2182741116751269,0.2670807453416149
トラースOP,2025/12/4,0.672566371681416,0.24516129032258063,0.359338061465721,0.415929203539823,0.15161290322580645,0.22222222222222218
Wディッシュ,2025/12/2,0.6666666666666666,0.48739495798319327,0.5631067961165048,0.40229885057471265,0.29411764705882354,0.33980582524271846
内田洋,2025/12/3,0.5462962962962963,0.21611721611721613,0.30971128608923887,0.3148148148148148,0.12454212454212454,0.1784776902887139
デジプラ,2025/12/3,0.42962962962962964,0.3558282208588957,0.38926174496644295,0.2518518518518518,0.2085889570552147,0.22818791946308725
