銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
アライドアキ,2025/12/4,0.46616541353383456,0.3263157894736842,0.3839009287925697,0.2556390977443609,0.17894736842105263,0.21052631578947367
ラウンドワン,2025/12/4,0.42063492063492064,0.4274193548387097,0.424,0.2777777777777778,0.28225806451612906,0.27999999999999997
ブルーイノベ,2025/12/3,0.5853658536585366,0.631578947368421,0.6075949367088608,0.34959349593495936,0.37719298245614036,0.3628691983122363
平田機工,2025/12/3,0.4365079365079365,0.3793103448275862,0.4059040590405904,0.23015873015873015,0.2,0.2140221402214022
リガクHD,2025/12/4,0.569620253164557,0.45685279187817257,0.5070422535211268,0.34810126582278483,0.27918781725888325,0.30985915492957744
トラースOP,2025/12/4,0.631578947368421,0.23225806451612904,0.33962264150943394,0.34210526315789475,0.12580645161290321,0.18396226415094338
Wディッシュ,2025/12/2,0.2722222222222222,0.4117647058823529,0.32775919732441466,0.16111111111111112,0.24369747899159663,0.19397993311036787
内田洋,2025/12/3,0.5290697674418605,0.3333333333333333,0.40898876404494383,0.29651162790697677,0.18681318681318682,0.22921348314606743
デジプラ,2025/12/3,0.4594594594594595,0.4171779141104294,0.4372990353697749,0.30405405405405406,0.27607361963190186,0.28938906752411575
