銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
アライドアキ,2025/12/4,0.5544554455445545,0.29473684210526313,0.3848797250859106,0.297029702970297,0.15789473684210525,0.20618556701030927
ラウンドワン,2025/12/4,0.4015748031496063,0.4112903225806452,0.40637450199203184,0.23622047244094488,0.24193548387096775,0.2390438247011952
ブルーイノベ,2025/12/3,0.5636363636363636,0.543859649122807,0.5535714285714286,0.3,0.2894736842105263,0.29464285714285715
平田機工,2025/12/3,0.4409448818897638,0.38620689655172413,0.4117647058823529,0.25196850393700787,0.2206896551724138,0.23529411764705882
リガクHD,2025/12/4,0.5255474452554745,0.36548223350253806,0.4311377245508982,0.30656934306569344,0.2131979695431472,0.251497005988024
トラースOP,2025/12/4,0.6101694915254238,0.23225806451612904,0.33644859813084116,0.3898305084745763,0.14838709677419354,0.21495327102803738
Wディッシュ,2025/12/2,0.47368421052631576,0.453781512605042,0.463519313304721,0.2807017543859649,0.2689075630252101,0.27467811158798283
内田洋,2025/12/3,0.5481481481481482,0.27106227106227104,0.3627450980392156,0.2740740740740741,0.13553113553113552,0.1813725490196078
デジプラ,2025/12/3,0.375,0.25766871165644173,0.3054545454545454,0.22321428571428573,0.15337423312883436,0.18181818181818185
